x,y,z
0.0000,0.0000,1.0000
0.2069,-0.6095,1.0000
-0.2074,-1.1099,1.0000
-0.5698,-1.6492,1.0000
-0.8765,-2.2220,1.0000
-1.1244,-2.8226,1.0000
-1.3112,-3.4449,1.0000
-1.4350,-4.0827,1.0000
-1.4944,-4.7297,1.0000
-1.4889,-5.3794,1.0000
-1.4186,-6.0253,1.0000
-1.2842,-6.6610,1.0000
-1.0870,-7.2801,1.0000
-0.8289,-7.8764,1.0000
-0.5127,-8.4439,1.0000
-0.1413,-8.9771,1.0000
0.2814,-9.4705,1.0000
0.7513,-9.9192,1.0000
1.2636,-10.3188,1.0000
1.8133,-10.6652,1.0000
2.3948,-10.9551,1.0000
3.0023,-11.1854,1.0000
3.6298,-11.3539,1.0000
4.2710,-11.4590,1.0000
4.9195,-11.4995,1.0000
5.5687,-11.4751,1.0000
6.2123,-11.3859,1.0000
6.8438,-11.2330,1.0000
7.4569,-11.0178,1.0000
8.0454,-10.7425,1.0000
8.6034,-10.4097,1.0000
9.1255,-10.0230,1.0000
9.6064,-9.5860,1.0000
10.0412,-9.1032,1.0000
10.4256,-8.5795,1.0000
10.7559,-8.0199,1.0000
11.0286,-7.4302,1.0000
11.2411,-6.8162,1.0000
11.3912,-6.1841,1.0000
11.4775,-5.5401,1.0000
11.5000,-5.0000,1.0000
11.4675,-4.3511,1.0000
11.3704,-3.7086,1.0000
11.2097,-3.0791,1.0000
10.9869,-2.4688,1.0000
10.7043,-1.8837,1.0000
10.3647,-1.3298,1.0000
9.9715,-0.8126,1.0000
9.5286,-0.3372,1.0000
9.0405,0.0916,1.0000
8.5120,0.4696,1.0000
7.9484,0.7928,1.0000
7.3553,1.0583,1.0000
6.7387,1.2631,1.0000
6.1048,1.4054,1.0000
5.4598,1.4837,1.0000
4.8102,1.4972,1.0000
4.1625,1.4458,1.0000
3.5232,1.3300,1.0000
2.8986,1.1510,1.0000
2.2950,0.9104,1.0000
1.7185,0.6109,1.0000
1.1747,0.2552,1.0000
0.6692,-0.1529,1.0000
